,x,y
90,-20810.79242769894,18115.58939043533
91,-12670.200065468125,24488.76115320366
92,-3720.195802185679,12358.774395063598
93,7918.995997108909,-9477.668510607595
94,-24276.074430510653,38879.44183256602
95,-24314.197103859253,38923.41252710632
96,-24716.276542654985,35820.051361856444
97,385411.7509215795,-439743.3404284119
98,7245.936389870778,-759.474003225653
99,-20272.848772485147,33794.31203237013
100,-6464.2950971186465,-145842.0656231159
101,5936.340225131664,-9692.229661139425
102,39998.4967287559,-48137.45475832602
103,-18863.506682036957,24877.568924396597
104,-22154.091082608982,12160.489216645761
105,-23172.734813274634,26685.589112227946
106,91630.05789806694,10594.300944993327
107,-23556.97779010293,37968.63101845334
108,-24090.973468065436,38162.14852488156
109,-26993.36141285017,33484.091510341226
110,-4466.686843998771,-26755.432065363137
111,-25484.23634259566,34746.524007521046
112,-26082.735867085124,26998.59751249716
113,-14387.486572591932,26591.165289878874
114,34941.99898839717,-36299.072414189366
115,-24250.082851668663,38598.90284970816
116,-9800.540249821725,18016.99612970483
117,-26645.423922819587,6041.392248868028
118,-8395.422157336317,952.849366630954
119,-3647.530106293417,5129.754869779918
120,-23950.155882009596,38036.5867793208
121,-7113.695028871821,9173.652185516776
122,-24391.607765591012,38695.11302765913
123,-24226.677773001717,38520.46900101725
124,-23662.622604294003,37533.87053298259
125,-24169.35772871594,38722.68088150261
126,18030.137108687693,-19541.30986015983
127,-23053.735661834224,37653.62802683037
128,-10156.263813351125,7410.713957878154
129,-25388.042097616824,23840.416677935304
130,19478.47895123776,14064.804021058375
131,-23825.79498903408,-4887.626241907341
132,-23645.76807714175,37162.07609424851
133,-14019.606005038722,-11788.190878163005
134,-18625.939204122886,26352.33092174564
135,-23036.170542191776,37270.49582587922
136,-24319.386123794437,38915.12461949124
137,-23008.53491277511,37273.8199909045
138,-34298.00313854533,23671.067709429964
139,-23276.65164419295,25172.036043534197
140,-13255.467967179648,28927.71582996242
141,-23822.09787364641,35002.22420219386
142,-20889.271284163297,12576.276784179421
143,-2927.141243736398,8730.209027712994
144,4188.113311413744,-29676.29701662385
145,-24775.727779862387,38443.61409761301
146,-14744.467784590335,-44170.2270795905
147,5477.692545490947,1570.9566840404414
148,-16768.99759227144,24203.38623768705
149,5896.814773503826,7650.981308747181
150,17059.302463050662,-15129.364423675415
151,13713.314472988166,13274.817583812914
152,-7888.8753235689965,18230.430623016146
153,-25661.613012061614,28694.026772070996
154,-28262.06000947864,22596.08748524015
155,3775.5062625800897,1672.4258866887517
156,3570.9493351410442,18361.5697062556
157,-19620.027039972094,-13797.948395364203
158,-3565.1160825416605,10207.912668324076
159,51986.16127330413,-83178.01104512342
160,-12353.756886323836,24975.16924697089
161,-6049.760272649117,12309.733971826558
162,-48219.333986026475,23455.90739565558
163,-24381.352147142985,38415.49811645409
164,-23047.58077841249,35926.0167270784
165,-21739.576774579324,28097.768070534163
166,-24267.0219619455,37598.969383684525
